disease,error
Immune dysregulation syndrome,summary_failed
Gingivitis,no_symptoms
Dental abscess,no_symptoms
Pulpitis,no_symptoms
Apical periodontitis,no_symptoms
Dry socket,no_symptoms
Oral candidiasis,no_symptoms
Oral lichen planus,no_symptoms
Erythroplakia,no_symptoms
Xerostomia,no_symptoms
Sialadenitis,no_symptoms
Salivary gland calculi,summary_failed
Malocclusion,no_symptoms
Occupational asthma,no_symptoms
Byssinosis,no_symptoms
Pesticide poisoning,no_symptoms
Decompression sickness,no_symptoms
Von Hippel-Lindau disease,no_symptoms
Li-Fraumeni syndrome,no_symptoms
BRCA mutation,no_symptoms
Lynch syndrome,no_symptoms
Familial adenomatous polyposis,no_symptoms
Albinism,no_symptoms
Fanconi anemia,no_symptoms
Diamond-Blackfan anemia,no_symptoms
Shwachman-Diamond syndrome,no_symptoms
Dyskeratosis congenita,no_symptoms
Autoinflammatory diseases,no_symptoms
